id:,name,englishName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,massValue,massExponent,volValue,volExponent,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,aroundPlanet,discoveredBy,discoveryDate,alternativeName,axialTilt,avgTemp,mainAnomaly,argPeriapsis,longAscNode
kerberos,Kerberos,Kerberos,FALSE,59000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,pluton,T&eacute;lescope spatial Hubble - Pluto Companion Search Team,20/07/2011,S/2011 (134340) 1,0,0,0,0,0
s2011j1,S/2011 J 1,S/2011 J 1,FALSE,20155290,0,0,0.296,162.8,2.4,16,0,1,1,0,0,0.5,0,0,0,,580.7,0,jupiter,Scott S. Sheppard,29/01/2012,S/2011 J 1,0,0,0,0,0
s2011j2,S/2011 J 2,S/2011 J 2,FALSE,23329710,0,0,0.332,148.8,2.4,16,0,1,1,0,0,0.5,0,0,0,,726.8,0,jupiter,Scott S. Sheppard,29/01/2012,S/2011 J 2,0,0,0,0,0
styx,Styx,Styx,FALSE,45000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,pluton,T&eacute;lescope spatial Hubble - Pluto Companion Search Team - Mark Showalter,11/07/2012,S/2012 (134340) 1,0,0,0,0,0
hippocampe,Hippocampe,Hippocamp,FALSE,105200,0,0,0,0,3,16,0,1,1,0,0,17,0,0,0,,0.95,0,neptune,Mark Showalter,01/07/2013,S/2004 N 1,0,0,0,0,0
mk2,S/2015 (136472) 1,S/2015 (136472) 1,FALSE,21100,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,makemake,Alex H. Parker,26/04/2016,S/2015 (136472) 1,0,0,0,0,0
s2017j1,S/2017 J 1,S/2017 J 1,FALSE,23587000,0,0,0.397,149.2,2.4,16,0,1,1,0,0,2,0,0,0,,734.2,0,jupiter,Scott Sheppard,06/06/2017,S/2017 J 1,0,0,0,0,0
s2016j1,S/2016 J 1,S/2016 J 1,FALSE,20651000,0,0,0.141,139.8,2.4,16,0,1,1,0,0,0.5,0,0,0,,602.7,0,jupiter,Scott Sheppard,06/06/2017,S/2016 J 1,0,0,0,0,0
valetudo,ValÃ©tudo,Valetudo,FALSE,18980000,0,0,0.222,34,2.4,16,0,1,1,0,0,0.5,0,0,0,,533,0,jupiter,Scott Sheppard,17/07/2018,S/2016 J 2,0,0,0,0,0
s2017j2,S/2017 J 2,S/2017 J 2,FALSE,23303000,0,0,0.236,166.4,2.4,16,0,1,1,0,0,1,0,0,0,,723,0,jupiter,Scott Sheppard,17/07/2018,S/2017 J 2,0,0,0,0,0
